Title,Authors,Abstract,Published_Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
MicroRNA-18a-5p mitigates oxygen-glucose-deprivation/reoxygenation-induced injury through suppression of TLRs/NF-κB signaling by targeting TLR8 in PC12 cells,"Lu, Ying-Yun; Ma, Xiao-Jun; Yang, Yan-Na","This work aimed to assess the role of TLR8 in cerebral I/R injury and its in-depth pathogenesis. Bioinformatics analysis indicated that TLR8 was up-regulated in patients with ischemic stroke than that in healthy control, and miR-18a-5p was the upstream regulatory of TLR8. Then, the rat pheochromocytoma PC12 cells were exposed in oxygen-glucose-deprivation/reoxygenation (OGD/R) conditions to construct a modelin vitro. The functional experiments indicated that OGD/R can decline the viability and elevate the apoptosis of PC12 cells, while up-regulation of miR-18a-5p can alleviate OGD/R-induced cell injury. Notably, overexpression of TLR8 reverses the miR-18a-5p-mediated protection on OGD/R-induced cells injury. Finally, we found that up-regulation of miR-18a-5p obviously declined the protein levels of TLR4 and TLR7 as well as the phosphorylation of NF-kappa B, while overexpression of TLR8 canceled the decrease caused by miR-18a-5p up-regulation. In summing, our results illustrated that miR-18a-5p/TLR8 axis can mitigate OGD/R-induced cells injury through TLRs and NF-kappa B pathway.",2020,,BIOSCIENCE BIOTECHNOLOGY AND BIOCHEMISTRY,84,12,2476-2483,WOS:000561133900001,10.1080/09168451.2020.1806705,,#10926,Lu 2020,,
Auditory detection probability of propeller noise in hover flight in presence of ambient soundscape,"Stalnov, Oksana; Faran, Michael; Koral, Yonatan; Furst, Miriam","Unmanned aerial vehicles are rapidly advancing and becoming ubiquitous in an unlimited number of applications, from parcel delivery to people transportation. As unmanned aerial vehicle (UAV) markets expand, the increased acoustic nuisance on population becomes a more acute problem. Previous aircraft noise assessments have highlighted the necessity of a psychoacoustic metric for quantification of human audio perception. This study presents a framework for estimating propeller-based UAV auditory detection probability on the ground for a listener in a real-life scenario. The detection probability is derived by using its free-field measured acoustic background and estimating the UAV threshold according to a physiological model of the auditory pathway. The method is presented via results of an exemplar measurement in an anechoic environment with a single two- and five-bladed propeller. It was found that the auditory detection probability is primarily affected by the background noise level, whereas the number of blades is a less significant parameter. The significance of the proposed method lies in providing a quantitative evaluation of auditory detection probability of the UAV on the ground in the presence of a given soundscape. The results of this work are of practical significance since the method can aid anyone who plans a hovering flight mode. (C) 2022 Acoustical Society of America.",2022,,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,151,6,3719-3728,WOS:000806752900002,10.1121/10.0011546,,#13090,Stalnov 2022,,
Signs of Muller cell gliotic response found in the retina of newts exposed to real and simulated microgravity,"Grigoryan, E. N.; Anton, H. J.; Poplinskaya, V. A.; Aleinikova, K. S.; Domaratskaya, E. I.; Novikova, Y. P.; Almeida, E.","The effects of real and simulated microgravity on the eye tissue regeneration of newts were investigated. For the first time changes in Muller glial cells in the retina of eyes regenerating after retinal detachment were detected in newts exposed to clinorotation. The cells divided, were hypertrophied, and their processes were thickened. Such changes suggested reactive gliosis and were more significant in animals exposed to rotation when compared with desk-top controls. Later experiments onboard the Russian biosatellite Bion-11 showed similar changes in the retinas that were regenerating in a two-week spaceflight. In the Bion-11 animals, GFAP, the major structural protein of retinal macroglial cells, was found to be upregulated. In a more recent experiment onboard Foton-M3 (2007), GFAP expression in retinas of space-flown, ground control (kept at 1 g), and basal control (sacrificed on launch day) newts was quantified, using microscopy, immunohistochemistry, and digital image analysis. A low level of immunoreactivity was observed in basal controls. In contrast, retinas of space-flown animals showed greater GFAP immunoreactivity associated with both an increased cell number and a higher thickness of intermediate filaments. This, in turn, was accompanied by up-regulation of stress protein (HSP90) and growth factor (FGF2) expressions. It can be postulated that such a response of Muller cells was to mitigate the retinal stress in newts exposed to microgravity. Taken together, the data suggest that the retinal population of macroglial cells could be sensitive to gravity changes and that in space it can react by enhancing its neuroprotective function. (C) 2012 COSPAR. Published by Elsevier Ltd. All rights reserved.",2012,,ADVANCES IN SPACE RESEARCH,49,10,1465-1471,WOS:000303617900008,10.1016/j.asr.2012.02.025,,#16478,Grigoryan 2012,,
Survival of endospores of Bacillus subtilis on spacecraft surfaces under simulated martian environments: implications for the forward contamination of Mars.,"Schuerger, Andrew C; Mancinelli, Rocco L; Kern, Roger G; Rothschild, Lynn J; McKay, Christopher P","Experiments were conducted in a Mars simulation chamber (MSC) to characterize the survival of endospores of Bacillus subtilis under high UV irradiation and simulated martian conditions. The MSC was used to create Mars surface environments in which pressure (8.5 mb), temperature (-80, -40, -10, or +23 degrees C), gas composition (Earth-normal N2/O2 mix, pure N2, pure CO2, or a Mars gas mix), and UV-VIS-NIR fluence rates (200-1200 nm) were maintained within tight limits. The Mars gas mix was composed of CO2 (95.3%), N2 (2.7%), Ar (1.7%), O2 (0.2%), and water vapor (0.03%). Experiments were conducted to measure the effects of pressure, gas composition, and temperature alone or in combination with Mars-normal UV-VIS-NIR light environments. Endospores of B. subtilis, were deposited on aluminum coupons as monolayers in which the average density applied to coupons was 2.47 x 10(6) bacteria per sample. Populations of B. subtilis placed on aluminum coupons and subjected to an Earth-normal temperature (23 degrees C), pressure (1013 mb), and gas mix (normal N2/O2 ratio) but illuminated with a Mars-normal UV-VIS-NIR spectrum were reduced by over 99.9% after 30 sec exposure to Mars-normal UV fluence rates. However, it required at least 15 min of Mars-normal UV exposure to reduce bacterial populations on aluminum coupons to non-recoverable levels. These results were duplicated when bacteria were exposed to Mars-normal environments of temperature (-10 degrees C), pressure (8.5 mb), gas composition (pure CO2), and UV fluence rates. In other experiments, results indicated that the gas composition of the atmosphere and the temperature of the bacterial monolayers at the time of Mars UV exposure had no effects on the survival of bacterial endospores. But Mars-normal pressures (8.5 mb) were found to reduce survival by approximately 20-35% compared to Earth-normal pressures (1013 mb). The primary implications of these results are (a) that greater than 99.9% of bacterial populations on sun-exposed surfaces of spacecraft are likely to be inactivated within a few tens of seconds to a few minutes on the surface of Mars, and (b) that within a single Mars day under clear-sky conditions bacterial populations on sun-exposed surfaces of spacecraft will be sterilized. Furthermore, these results suggest that the high UV fluence rates on the martian surface can be an important resource in minimizing the forward contamination of Mars. Copyright c2003 Elsevier Inc. All rights reserved.",2003,/,Icarus,165,2,253-76,,,14649627,#3426,Schuerger 2003,,
Human Performance of Novice Schedulers for Complex Spaceflight Operations Timelines.,"Marquez, Jessica J; Edwards, Tamsyn; Karasinski, John A; Lee, Candice N; Shyr, Megan C; Miller, Casey L; Brandt, Summer L","OBJECTIVE: Investigate the effects of scheduling task complexity on human performance for novice schedulers creating spaceflight timelines., BACKGROUND: Future astronauts will be expected to self-schedule, yet will not be experts in creating timelines that meet the complex constraints inherent to spaceflight operations., METHOD: Conducted a within-subjects experiment to evaluate scheduling task performance in terms of scheduling efficiency, effectiveness, workload, and situation awareness while manipulating scheduling task complexity according to the number of constraints and type of constraints., RESULTS: Each participant (n = 15) completed a set of scheduling problems. Results showed main effects of the number of constraints and type of constraint on efficiency, effectiveness, and workload. Significant interactions were observed in situation awareness and workload for certain types of constraints. Results also suggest that a lower number of constraints may be manageable by novice schedulers when compared to scheduling activities without constraints., CONCLUSION: Results suggest that novice schedulers' performance decreases with a high number of constraints, and future scheduling aids may need to target a specific type of constraint., APPLICATION: Knowledge on the effect of scheduling task complexity will help design scheduling systems that will enable self-scheduling for future astronauts. It will also inform other domains that conduct complex scheduling, such as nursing and manufacturing.",2023,/,Human factors,65,6,1183-1198,,https://dx.doi.org/10.1177/00187208211058913,34886710,#295,Marquez 2023,,
A Multi-UAV Task Allocation Algorithm Combatting Red Palm Weevil Infestation,"Al-Megren, Shiroq; Kurdi, Heba; Aldaood, Munirah F.","The spread of red palm weevil (RPW) infestation of palm trees is prevalent in many countries, causing tremendous economic losses estimated at multi-millions of dollars annually. The utilization of a swarm of multiple unmanned aerial vehicles (UAVs) with suitable equipment has the potential to support RPW detect and treat (DAT) missions. Nevertheless, this approach raises a challenge regarding the efficient distribution of UAVs during search and detect tasks within the constraints of a mission. This paper proposes a new autonomous bio-inspired approach for efficiently allocating tasks among multiple UAVs during DAT missions. The new approach is inspired by the autonomous behaviour of bacteria as they forage for food. The performance of the proposed algorithm was benchmarked against two long-standing multi-UAV task allocation paradigms: opportunistic task allocation and auction-based heuristics, which were thoroughly tested in simulated DAT mission scenarios to comparatively assess their performance. The experimental results demonstrated the superior performance of the proposed algorithm, as it detected more infestations at shorter runtimes. These results validate the high flexibility, scalability, and sustainability of the proposed approach. (C) 2018 The Authors. Published by Elsevier Ltd.",2018,,9TH INTERNATIONAL CONFERENCE ON EMERGING UBIQUITOUS SYSTEMS AND PERVASIVE NETWORKS (EUSPN-2018) / 8TH INTERNATIONAL CONFERENCE ON CURRENT AND FUTURE TRENDS OF INFORMATION AND COMMUNICATION TECHNOLOGIES IN HEALTHCARE (ICTH-2018),141,,88-95,WOS:000471261700011,10.1016/j.procs.2018.10.153,,#11765,Al-Megren 2018,,
"From Classical Radiation to Modern Radiation: Past, Present, and Future of Radiation Mutation Breeding","Ma, Liqiu; Kong, Fuquan; Sun, Kai; Wang, Ting; Guo, Tao","Radiation mutation breeding has been used for nearly 100 years and has successfully improved crops by increasing genetic variation. Global food production is facing a series of challenges, such as rapid population growth, environmental pollution and climate change. How to feed the world's enormous human population poses great challenges to breeders. Although advanced technologies, such as gene editing, have provided effective ways to breed varieties, by editing a single or multiple specific target genes, enhancing germplasm diversity through mutation is still indispensable in modern and classical radiation breeding because it is more likely to produce random mutations in the whole genome. In this short review, the current status of classical radiation, accelerated particle and space radiation mutation breeding is discussed, and the molecular mechanisms of radiation-induced mutation are demonstrated. This review also looks into the future development of radiation mutation breeding, hoping to deepen our understanding and provide new vitality for the further development of radiation mutation breeding.",2021,,FRONTIERS IN PUBLIC HEALTH,9,,,WOS:000739086000001,10.3389/fpubh.2021.768071,,#15196,Ma 2021,,
"Effect of Green Space Environment on Air Pollutants PM2.5, PM10, CO, O3, and Incidence and Mortality of SARS-CoV-2 in Highly Green and Less-Green Countries.","Meo, Sultan Ayoub; Almutairi, Faris Jamal; Abukhalaf, Abdulelah Adnan; Usmani, Adnan Mahmood","Worldwide, over half of the global population is living in urban areas. The metropolitan areas are highly populated and environmentally non-green regions on the planet. In green space regions, plants, grass, and green vegetation prevent soil erosion, absorb air pollutants, provide fresh and clean air, and minimize the burden of diseases. Presently, the entire world is facing a turmoil situation due to the COVID-19 pandemic. This study investigates the effect of the green space environment on air pollutants particulate matter PM2.5, PM10, carbon monoxide (CO), ozone (O3), incidence and mortality of Severe Acute Respiratory Syndrome Coronavirus (SARS-CoV-2) in environmentally highly green and less-green countries. We randomly selected 17 countries based on the Environmental Performance Index (EPI) data. The 60% of the EPI score is based on seven categories: ""biodiversity and habitat, ecosystem, fisheries, climate change, pollution emissions, agriculture, and water resources"". However, 40% of the score is based on four categories: ""air quality, sanitation and drinking water, heavy metals, and waste management"". The air pollutants and SARS-CoV-2 cases and deaths were recorded from 25 January 2020, to 11 July 2021. The air pollutants ""PM2.5, PM10, CO, and O3"" were recorded from the metrological websites, Air Quality Index-AQI, 2021. The COVID-19 daily cases and deaths were obtained from the World Health Organization. The result reveals that air pollutants mean values for PM2.5 110.73 +/- 1.09 vs. 31.35 +/- 0.29; PM10 80.43 +/- 1.11 vs. 17.78 +/- 0.15; CO 7.92 +/- 0.14 vs. 2.35 +/- 0.03 were significantly decreased (p < 0.0001) in environmentally highly green space countries compared to less-green countries. Moreover, SARS-CoV-2 cases 15,713.61 +/- 702.42 vs. 3445.59 +/- 108.09; and deaths 297.56 +/- 11.27 vs. 72.54 +/- 2.61 were also significantly decreased in highly green countries compared to less-green countries. The green environment positively impacts human wellbeing. The policymakers must implement policies to keep the living areas, surroundings, towns, and cities clean and green to minimize air pollution and combat the present pandemic of COVID-19.",2021,/,International journal of environmental research and public health,18,24,,,https://dx.doi.org/10.3390/ijerph182413151,34948761,#980,Meo 2021,,
Neural Networks Enhanced Optimal Admittance Control of Robot-Environment Interaction Using Reinforcement Learning,"Peng, Guangzhu; Chen, C. L. Philip; Yang, Chenguang","In this paper, an adaptive admittance control scheme is developed for robots to interact with time-varying environments. Admittance control is adopted to achieve a compliant physical robot-environment interaction, and the uncertain environment with time-varying dynamics is defined as a linear system. A critic learning method is used to obtain the desired admittance parameters based on the cost function composed of interaction force and trajectory tracking without the knowledge of the environmental dynamics. To deal with dynamic uncertainties in the control system, a neural-network (NN)-based adaptive controller with a dynamic learning framework is developed to guarantee the trajectory tracking performance. Experiments are conducted and the results have verified the effectiveness of the proposed method.",2022,,IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS,33,9,4551-4561,WOS:000732268100001,10.1109/TNNLS.2021.3057958,,#10820,Peng 2022,,
"Unmanned Aerial Vehicles in Smart Agriculture: Applications, Requirements, and Challenges","Reddy Maddikunta, Praveen Kumar; Hakak, Saqib; Alazab, Mamoun; Bhattacharya, Sweta; Gadekallu, Thippa Reddy; Khan, Wazir Zada; Pham, Quoc-Viet","In the next few years, smart farming will reach each and every nook of the world. The prospects of using unmanned aerial vehicles (UAV) for smart farming are immense. However, the cost and the ease in controlling UAVs for smart farming might play an important role for motivating farmers to use UAVs in farming. Mostly, UAVs are controlled by remote controllers using radio waves. There are several technologies such as Wi-Fi or ZigBee that are also used for controlling UAVs. However, Smart Bluetooth (also referred to as Bluetooth Low Energy) is a wireless technology used to transfer data over short distances. Smart Bluetooth is cheaper than other technologies and has the advantage of being available on every smart phone. Farmers can use any smart phone to operate their respective UAVs along with Bluetooth Smart enabled agricultural sensors in the future. However, certain requirements and challenges need to be addressed before UAVs can be operated for smart agriculture-related applications. Hence, in this article, an attempt has been made to explore the types of sensors suitable for smart farming, potential requirements and challenges for operating UAVs in smart agriculture. We have also identified the future applications of using UAVs in smart farming.",2021,,IEEE SENSORS JOURNAL,21,16,17608-17619,WOS:000684707400026,10.1109/JSEN.2021.3049471,,#10372,ReddyMaddikunta 2021,,
